date,close,5. adjusted close,6. volume,7. dividend amount
2015-06-30,107.02,95.1333,54243174.0,0.468
2015-07-31,108.84,96.7512,59874301.0,0.0
2015-08-31,102.21,90.8576,96889993.0,0.0
2015-09-30,98.72,88.2028,85737856.0,0.508
2015-10-30,106.53,95.1807,51491327.0,0.0
2015-11-30,107.17,95.7525,46634560.0,0.0
2015-12-31,104.3,93.7151,80607536.0,0.583
2016-01-29,98.33,88.351,115165326.0,0.0
2016-02-29,98.32,88.342,76378191.0,0.0
2016-03-31,104.82,94.6245,65327659.0,0.48
2016-04-29,105.51,95.2474,48649639.0,0.0
2016-05-31,107.34,96.8994,51266400.0,0.0
2016-06-30,107.16,97.1651,61655734.0,0.469
2016-07-29,111.42,101.0278,44259609.0,0.0
2016-08-31,111.65,101.2363,35980708.0,0.0
2016-09-30,111.33,101.4457,48064908.0,0.539
2016-10-31,108.89,99.2223,40601431.0,0.0
2016-11-30,113.78,103.6782,69435498.0,0.0
2016-12-30,115.32,105.7351,60923821.0,0.727
2017-01-31,117.46,107.6973,48052666.0,0.0
2017-02-28,121.8,111.6765,40731073.0,0.0
2017-03-31,121.32,111.7382,56451972.0,0.542
2017-04-28,122.61,112.9263,44636697.0,0.0
2017-05-31,123.85,114.0684,44575189.0,0.0
2017-06-30,124.45,115.1495,47249034.0,0.575
2017-07-31,126.79,117.3147,36658322.0,0.0
2017-08-31,126.98,117.4905,43312804.0,0.0
2017-09-29,129.52,120.3569,34358262.0,0.553
2017-10-31,132.33,122.9681,45626622.0,0.0
2017-11-30,136.34,126.6944,51552960.0,0.0
2017-12-29,137.25,128.164,47009789.0,0.673
2018-01-31,144.43,134.8686,62221869.0,0.0
2018-02-28,139.0,129.7981,83285200.0,0.0
2018-03-29,135.72,127.263,61548968.0,0.5661
2018-04-30,136.33,127.835,54904381.0,0.0
2018-05-31,140.04,131.3138,35897296.0,0.0
2018-06-29,140.43,132.2373,43825152.0,0.6034
2018-07-31,145.09,136.6254,43867117.0,0.0
2018-08-31,150.07,141.3149,48210086.0,0.0
2018-09-28,149.65,141.5919,41559633.0,0.7142
2018-10-31,138.56,131.0991,102557686.0,0.0
2018-11-30,141.35,133.7388,65617537.0,0.0
2018-12-31,127.63,121.4849,153338534.0,0.7209
2019-01-31,138.53,131.8601,84378931.0,0.0
2019-02-28,143.46,136.5527,55107537.0,0.0
2019-03-29,144.71,138.4877,62212526.0,0.772
2019-04-30,150.39,143.9235,51258369.0,0.0
2019-05-31,140.69,134.6406,58562197.0,0.0
2019-06-28,150.09,144.1704,51271076.0,0.5472
2019-07-31,152.21,146.2068,47972694.0,0.0
2019-08-30,149.04,143.1618,71059845.0,0.0
2019-09-30,151.0,145.7105,54763085.0,0.7
2019-10-31,154.18,148.7791,53986787.0,0.0
2019-11-29,160.02,154.4145,44941491.0,0.0
2019-12-31,163.62,158.7443,58995634.0,0.886
2020-01-31,163.52,158.6473,69493510.0,0.0
2020-02-28,150.44,145.957,106017846.0,0.0
2020-03-31,128.91,125.6539,269600248.0,0.6136
2020-04-30,145.84,142.1563,132705457.0,0.0
2020-05-29,153.71,149.8275,87662131.0,0.0
2020-06-30,156.53,153.2624,103463330.0,0.6999
2020-07-31,165.52,162.0647,62271264.0,0.0
2020-08-31,177.28,173.5793,62223256.0,0.0
2020-09-30,170.31,167.428,71118555.0,0.6741
2020-10-30,166.99,164.1642,62852542.0,0.0
2020-11-30,186.7,183.5407,80229171.0,0.0
2020-12-31,194.64,192.1221,84829200.0,0.7818
2021-01-29,193.99,191.4805,95313102.0,0.0
2021-02-26,200.08,197.4918,77451556.0,0.0
2021-03-31,206.69,204.6907,102257317.0,0.6716
2021-04-30,217.1,215.0,83501866.0,0.0
2021-05-28,218.09,215.9805,79677297.0,0.0
2021-06-30,222.82,221.3368,69150267.0,0.6753
2021-07-30,226.69,225.181,76912553.0,0.0
2021-08-31,233.17,231.6179,68512606.0,0.0
2021-09-30,222.06,221.2775,77922607.0,0.7242
2021-10-29,236.91,236.0751,63216415.0,0.0
2021-11-30,233.45,232.6273,77158116.0,0.0
2021-12-31,241.44,241.44,89515871.0,0.8592
2022-01-31,226.81,226.81,119514425.0,0.0
2022-02-28,221.17,221.17,95578252.0,0.0
